I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
4.402511901855468750e+02,5.251439208984375000e+02,7.644989776611328125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.414989013671875000e+02,5.325249633789062500e+02,7.989611816406250000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.424313354492187500e+02,5.398987426757812500e+02,8.366857147216796875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.427366027832031250e+02,5.469926757812500000e+02,8.710285186767578125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.426012878417968750e+02,5.538900756835937500e+02,9.029956054687500000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.413683776855468750e+02,5.610599975585937500e+02,9.329605102539062500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.400030517578125000e+02,5.681531372070312500e+02,9.628354644775390625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.392743225097656250e+02,5.741018676757812500e+02,9.952356719970703125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.383280639648437500e+02,5.787758178710937500e+02,1.024659347534179688e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.369890747070312500e+02,5.811481933593750000e+02,1.048709564208984375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.345613098144531250e+02,5.817093505859375000e+02,1.080759963989257812e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.314456787109375000e+02,5.811261596679687500e+02,1.117864685058593750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.284460144042968750e+02,5.780006713867187500e+02,1.156704406738281250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.253091125488281250e+02,5.742928466796875000e+02,1.195537490844726562e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.210949096679687500e+02,5.691932373046875000e+02,1.232505722045898438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.168475646972656250e+02,5.637891845703125000e+02,1.273611297607421875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.125465698242187500e+02,5.578923339843750000e+02,1.321412048339843750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.076315307617187500e+02,5.524394531250000000e+02,1.372482604980468750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.023685302734375000e+02,5.472382202148437500e+02,1.425406188964843750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.963181457519531250e+02,5.403840942382812500e+02,1.476923370361328125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.901846313476562500e+02,5.330618286132812500e+02,1.528188781738281250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.841050109863281250e+02,5.242017211914062500e+02,1.578970642089843750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.780349731445312500e+02,5.154326171875000000e+02,1.623639221191406250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.719788818359375000e+02,5.067957763671875000e+02,1.659414978027343750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.655464172363281250e+02,4.965090942382812500e+02,1.704070281982421875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.589233093261718750e+02,4.853865966796875000e+02,1.753223724365234375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.524267272949218750e+02,4.730104064941406250e+02,1.809298706054687500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.459077148437500000e+02,4.610202331542968750e+02,1.863672637939453125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.392326965332031250e+02,4.513390502929687500e+02,1.907305908203125000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.325249633789062500e+02,4.403789978027343750e+02,1.938546447753906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.257743530273437500e+02,4.277432556152343750e+02,1.953549804687500000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.199772033691406250e+02,4.168002014160156250e+02,1.937093811035156250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.146099853515625000e+02,4.066203613281250000e+02,1.906452636718750000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.093537597656250000e+02,3.967149047851562500e+02,1.851229858398437500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.039263916015625000e+02,3.870360717773437500e+02,1.794756011962890625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.977974243164062500e+02,3.781906127929687500e+02,1.738928527832031250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.926817016601562500e+02,3.690508117675781250e+02,1.679306793212890625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.887634887695312500e+02,3.595631713867187500e+02,1.615200653076171875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.860273437500000000e+02,3.505454101562500000e+02,1.545391693115234375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.837631225585937500e+02,3.417152099609375000e+02,1.473306274414062500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.821886291503906250e+02,3.320350341796875000e+02,1.393913421630859375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.808460693359375000e+02,3.219081726074218750e+02,1.315311126708984375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.802215881347656250e+02,3.103497619628906250e+02,1.240134887695312500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.793854370117187500e+02,2.993968200683593750e+02,1.153233261108398438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.783234863281250000e+02,2.890899047851562500e+02,1.053819885253906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.777913208007812500e+02,2.791507263183593750e+02,9.646351623535156250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.774451599121093750e+02,2.693406677246093750e+02,8.790415191650390625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.772664794921875000e+02,2.602872924804687500e+02,7.936902618408203125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.771033630371093750e+02,2.515423431396484375e+02,7.054460144042968750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.769844970703125000e+02,2.437008056640625000e+02,6.086518478393554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.768155212402343750e+02,2.371174011230468750e+02,5.249434661865234375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.765982971191406250e+02,2.317464294433593750e+02,4.538457870483398438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.763074951171875000e+02,2.282548065185546875e+02,4.071520614624023438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.759885864257812500e+02,2.253583679199218750e+02,3.681554794311523438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.754223937988281250e+02,2.233430938720703125e+02,3.392139053344726562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.745628662109375000e+02,2.214721527099609375e+02,3.088415718078613281e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.729428710937500000e+02,2.199754028320312500e+02,2.747595596313476562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.714954223632812500e+02,2.181202697753906250e+02,2.368091201782226562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.701981201171875000e+02,2.159532928466796875e+02,1.954924392700195312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.692356567382812500e+02,2.137376251220703125e+02,1.622946548461914062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.683761901855468750e+02,2.115264434814453125e+02,1.309133148193359375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.678099670410156250e+02,2.096634979248046875e+02,9.294848442077636719e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.673024902343750000e+02,2.082143554687500000e+02,5.689409255981445312e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.669296569824218750e+02,2.077135009765625000e+02,2.521768331527709961e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.663876953125000000e+02,2.076106872558593750e+02,-1.380460858345031738e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.657129516601562500e+02,2.078203887939453125e+02,-5.859474182128906250e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.638179626464843750e+02,2.082233886718750000e+02,-1.097160530090332031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
