I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
4.159927673339843750e+02,4.517453918457031250e+02,4.200917816162109375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.173043518066406250e+02,4.554077453613281250e+02,4.568770599365234375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.184759826660156250e+02,4.591270751953125000e+02,4.956397628784179688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.210733947753906250e+02,4.654208374023437500e+02,5.397920989990234375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.237141113281250000e+02,4.723818359375000000e+02,5.810361099243164062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.264532470703125000e+02,4.808593139648437500e+02,6.156698608398437500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.298572998046875000e+02,4.902447814941406250e+02,6.437899017333984375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.337797851562500000e+02,5.003381042480468750e+02,6.668316650390625000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.364871826171875000e+02,5.092280578613281250e+02,6.983273315429687500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.388475341796875000e+02,5.177583618164062500e+02,7.316612243652343750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.402511901855468750e+02,5.251431274414062500e+02,7.645092773437500000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.414988708496093750e+02,5.325243530273437500e+02,7.989714050292968750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.424313354492187500e+02,5.398985595703125000e+02,8.366960144042968750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.427366638183593750e+02,5.469926147460937500e+02,8.710440826416015625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.426014099121093750e+02,5.538898315429687500e+02,9.030200958251953125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.413684692382812500e+02,5.610596923828125000e+02,9.329788208007812500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.400030517578125000e+02,5.681528320312500000e+02,9.628464508056640625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.392744140625000000e+02,5.741018066406250000e+02,9.952525329589843750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.383282165527343750e+02,5.787758178710937500e+02,1.024679031372070312e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.369893188476562500e+02,5.811481933593750000e+02,1.048726272583007812e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.345615539550781250e+02,5.817092285156250000e+02,1.080773696899414062e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.314459228515625000e+02,5.811259155273437500e+02,1.117875366210937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.284463195800781250e+02,5.780006713867187500e+02,1.156714706420898438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.253094482421875000e+02,5.742930908203125000e+02,1.195548553466796875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.210951843261718750e+02,5.691935424804687500e+02,1.232522659301757812e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.168477783203125000e+02,5.637894287109375000e+02,1.273627319335937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.125467529296875000e+02,5.578923950195312500e+02,1.321416320800781250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.076317749023437500e+02,5.524394531250000000e+02,1.372486419677734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.023688964843750000e+02,5.472382202148437500e+02,1.425416107177734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.963184509277343750e+02,5.403843994140625000e+02,1.476930999755859375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.901848754882812500e+02,5.330623779296875000e+02,1.528194732666015625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.841051330566406250e+02,5.242022094726562500e+02,1.578982696533203125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.780350952148437500e+02,5.154331054687500000e+02,1.623652343750000000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.719790954589843750e+02,5.067963256835937500e+02,1.659421997070312500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.655466613769531250e+02,4.965099182128906250e+02,1.704079284667968750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.589234924316406250e+02,4.853878784179687500e+02,1.753238830566406250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.524268493652343750e+02,4.730111694335937500e+02,1.809317016601562500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.459077758789062500e+02,4.610204772949218750e+02,1.863691711425781250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.392328186035156250e+02,4.513391418457031250e+02,1.907316131591796875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.325251464843750000e+02,4.403790588378906250e+02,1.938554229736328125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.257746276855468750e+02,4.277434692382812500e+02,1.953563385009765625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.199775085449218750e+02,4.168007812500000000e+02,1.937109222412109375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.146103210449218750e+02,4.066214294433593750e+02,1.906468200683593750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.093541259765625000e+02,3.967157897949218750e+02,1.851250915527343750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.039268188476562500e+02,3.870368041992187500e+02,1.794781341552734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.977979125976562500e+02,3.781912231445312500e+02,1.738950805664062500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.926821594238281250e+02,3.690514221191406250e+02,1.679327392578125000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.887637634277343750e+02,3.595639038085937500e+02,1.615221252441406250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.860275573730468750e+02,3.505460815429687500e+02,1.545412445068359375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.837633056640625000e+02,3.417157592773437500e+02,1.473327026367187500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.821888122558593750e+02,3.320358581542968750e+02,1.393936920166015625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.808462219238281250e+02,3.219091186523437500e+02,1.315336914062500000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.802216796875000000e+02,3.103504333496093750e+02,1.240160751342773438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.793854980468750000e+02,2.993973388671875000e+02,1.153256225585937500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.783235473632812500e+02,2.890904235839843750e+02,1.053836898803710938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.777913513183593750e+02,2.791511535644531250e+02,9.646550750732421875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.774451904296875000e+02,2.693409118652343750e+02,8.790673828125000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.772665100097656250e+02,2.602876892089843750e+02,7.937131500244140625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.771034240722656250e+02,2.515428466796875000e+02,7.054659271240234375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.769845886230468750e+02,2.437013244628906250e+02,6.086688613891601562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.768156127929687500e+02,2.371179962158203125e+02,5.249559783935546875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.765983276367187500e+02,2.317471771240234375e+02,4.538523864746093750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.763075561523437500e+02,2.282551422119140625e+02,4.071617889404296875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.759887390136718750e+02,2.253581085205078125e+02,3.681709671020507812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.754225158691406250e+02,2.233429870605468750e+02,3.392294311523437500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.745629882812500000e+02,2.214721527099609375e+02,3.088570785522460938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.729430847167968750e+02,2.199754028320312500e+02,2.747750473022460938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.714956054687500000e+02,2.181201782226562500e+02,2.368246269226074219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.701982116699218750e+02,2.159530487060546875e+02,1.955079650878906250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.692357177734375000e+02,2.137374725341796875e+02,1.623148727416992188e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.683762817382812500e+02,2.115264434814453125e+02,1.309390354156494141e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.678099975585937500e+02,2.096634979248046875e+02,9.297123908996582031e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.673025207519531250e+02,2.082143554687500000e+02,5.691388130187988281e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.669298095703125000e+02,2.077135009765625000e+02,2.523450136184692383e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.663878479003906250e+02,2.076105194091796875e+02,-1.378743052482604980e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.657129821777343750e+02,2.078199310302734375e+02,-5.857459545135498047e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.638180541992187500e+02,2.082229919433593750e+02,-1.096953582763671875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
